Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),date,tavg,tmin,tmax,wdir,wspd,wspd_m_s,riesgo_score,riesgo_operativo,viento_oeste
2018-01-01,1535.2044833236253,8.02297467655604,1622.990047940644,229.7352418899532,2018-01-01,9.1,3.0,15.0,214.0,20.8,5.777777777777778,5.669340361489179,Bajo,1
2018-01-02,3182.5642496744763,12.000547776619548,3314.693470949764,197.85978942447196,2018-01-02,7.3,5.0,10.0,146.0,15.2,4.222222222222222,7.544773110416173,Bajo,0
2018-01-03,1017.793340197866,6.650189283821311,1072.9563609421696,192.4760445488819,2018-01-03,6.4,4.0,7.0,31.0,25.8,7.166666666666667,5.02344690362612,Bajo,0
2018-01-04,834.4868690310486,6.232531402993384,838.463088376015,121.29914171113712,2018-01-04,8.7,6.0,12.0,351.0,19.5,5.416666666666667,4.222852175129365,Bajo,0
2018-01-05,123.71734536356378,3.121433587123945,130.34229096718445,154.9066660486987,2018-01-05,9.1,6.0,12.0,232.0,13.7,3.8055555555555554,2.033971263385478,Bajo,0
2018-01-06,592.1282273277635,4.090141479458117,659.139896701028,182.60481263569375,2018-01-06,9.8,1.0,17.0,270.0,15.5,4.305555555555555,3.215195998785981,Bajo,0
2018-01-07,3262.830647786456,12.193146546681676,3366.139098265005,210.71570830874924,2018-01-07,11.7,6.0,15.0,324.0,18.6,5.166666666666667,7.74922126134234,Bajo,0
2018-01-08,626.4213210625769,5.67738643371396,688.044216635467,216.72531308068125,2018-01-08,13.3,10.0,18.0,355.0,17.8,4.944444444444445,3.395320749117265,Bajo,0
2018-01-09,358.62668490409806,4.725272687772905,359.78159708886056,140.1185183690652,2018-01-09,14.3,9.0,18.0,289.0,36.3,10.083333333333332,3.951830279330409,Bajo,0
2018-01-10,232.42787662228616,3.436993292222416,267.8880748055212,171.9276213844613,2018-01-10,15.0,10.0,22.0,315.0,35.2,9.777777777777779,3.0177515308890053,Bajo,0
2018-01-11,1128.4133266342992,7.426239795154988,1354.9267085391837,187.42606321970575,2018-01-11,13.8,12.0,17.0,338.0,18.1,5.027777777777778,4.261299432648548,Bajo,0
2018-01-12,117.06513851943537,3.2046138773431263,124.53542147042226,164.99290162866734,2018-01-12,12.4,8.0,16.0,268.0,37.6,10.444444444444445,3.211657215294765,Bajo,0
