date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,9.1,3,15,,,214,20.8,,,
2018-01-02 00:00:00,7.3,5,10,,,146,15.2,,,
2018-01-03 00:00:00,6.4,4,7,,,31,25.8,,,
2018-01-04 00:00:00,8.7,6,12,,,351,19.5,,,
2018-01-05 00:00:00,9.1,6,12,,,232,13.7,,995.8,
2018-01-06 00:00:00,9.8,1,17,,,270,15.5,,,
2018-01-07 00:00:00,11.7,6,15,,,324,18.6,,,
2018-01-08 00:00:00,13.3,10,18,,,355,17.8,,,
2018-01-09 00:00:00,14.3,9,18,,,289,36.3,,,
2018-01-10 00:00:00,15,10,22,,,315,35.2,,1005,
2018-01-11 00:00:00,13.8,12,17,,,338,18.1,,,
2018-01-12 00:00:00,12.4,8,16,,,268,37.6,,,
2018-01-13 00:00:00,10.6,5,16,,,273,40.3,,,
2018-01-14 00:00:00,12.8,6,18,,,273,42.7,,,
2018-01-15 00:00:00,11,6,17,,,287,31.2,,,
2018-01-16 00:00:00,12,8,17,,,285,33.8,,,
2018-01-17 00:00:00,9.8,6,15,,,277,29.2,,,
2018-01-18 00:00:00,12.3,6,19,,,278,32.5,,,
2018-01-19 00:00:00,14.5,10,22,,,295,38.5,,,
2018-01-20 00:00:00,13,,,,,,,,,
2018-01-21 00:00:00,13,9,16,,,287,37.2,,,
2018-01-22 00:00:00,10,3,15,,,280,24.8,,,
2018-01-23 00:00:00,8.5,1,14,,,256,27.9,,,
2018-01-24 00:00:00,11.8,7.7,17,,,277,37.1,,,
2018-01-25 00:00:00,12.8,7,21,,,285,28.5,,,
2018-01-26 00:00:00,14.9,11,20,,,279,26.4,,993.5,
2018-01-27 00:00:00,13.8,10,19,,,289,30.3,,,
2018-01-28 00:00:00,12.3,8,17,,,281,38.4,,,
2018-01-29 00:00:00,12.8,7,18,,,296,36.5,,,
2018-01-30 00:00:00,10.3,6,16,,,242,24.4,,,
2018-01-31 00:00:00,8.8,,,,,,,,,
2018-02-01 00:00:00,13.6,7,22,,,273,38,,991.7,
2018-02-02 00:00:00,17.3,13,21,,,278,36.7,,,
2018-02-03 00:00:00,16.9,12,25,,,301,29.9,,,
2018-02-04 00:00:00,15.7,8,19,,,267,21.5,,997.6,
2018-02-05 00:00:00,11.5,3,19,,,291,27.9,,,
2018-02-06 00:00:00,12.3,8,17,,,321,24.4,,,
2018-02-07 00:00:00,11.2,,,,,,,,,
2018-02-08 00:00:00,8.8,3,14,,,280,31.2,,992.4,
2018-02-09 00:00:00,7.5,0,13,,,199,20.4,,,
2018-02-10 00:00:00,7.3,,,,,,,,,
2018-02-11 00:00:00,8.2,0,15,,,272,25.5,,1008.9,
2018-02-12 00:00:00,12.4,8,17,,,267,42.5,,,
2018-02-13 00:00:00,12.6,,,,,,,,,
2018-02-14 00:00:00,10.9,6,16,,,274,37.8,,,
2018-02-15 00:00:00,10.3,2,16,,,321,14.2,,,
2018-02-16 00:00:00,12.4,,,,,,,,,
2018-02-17 00:00:00,8.3,,,,,,,,,
2018-02-18 00:00:00,11.3,9,15,,,226,15.6,,987.7,
2018-02-19 00:00:00,10.4,7,14,,,281,19.5,,997,
2018-02-20 00:00:00,12.8,9,18,,,316,28.5,,,
2018-02-21 00:00:00,12.5,7,20,,,345,33.2,,,
2018-02-22 00:00:00,11.5,5,19,,,290,32.3,,,
2018-02-23 00:00:00,11.5,6,18,,,324,22.5,,,
2018-02-24 00:00:00,13.4,8,21,,,317,23.1,,999.7,
2018-02-25 00:00:00,12.7,7,18,,,285,28.9,,1005,
2018-02-26 00:00:00,13.1,8,16,,,274,33.8,,,
2018-02-27 00:00:00,8.6,,,,,,,,,
2018-02-28 00:00:00,12.7,9,17,,,309,38.8,,990.8,
2018-03-01 00:00:00,11.1,7,16,,,283,46.9,,992.7,
2018-03-02 00:00:00,13.2,6,17,,,298,35.5,,,
2018-03-03 00:00:00,10.3,,,,,,,,,
2018-03-04 00:00:00,7.9,1,16,,,280,26.4,,,
2018-03-05 00:00:00,11.7,7,18,,,299,44.5,,,
2018-03-06 00:00:00,12.9,10,14,,,293,26.8,,,
2018-03-07 00:00:00,11.3,6,16,,,304,29.6,,,
2018-03-08 00:00:00,9.9,,,,,,,,,
2018-03-09 00:00:00,6.2,2,11,,,238,11.8,,,
2018-03-10 00:00:00,5.4,-2,11,,,313,19.6,,,
2018-03-11 00:00:00,10.7,8,14,,,303,23.9,,994.4,
2018-03-12 00:00:00,11.1,8,15,,,301,30.9,,,
2018-03-13 00:00:00,10.7,,,,,,,,,
2018-03-14 00:00:00,4.8,,,,,,,,,
2018-03-15 00:00:00,6.6,3,12,,,272,13.5,,,
2018-03-16 00:00:00,4.5,1,8,,,204,12.3,,,
2018-03-17 00:00:00,6.7,1,13,,,289,34.2,,,
2018-03-18 00:00:00,9.1,2,13,,,294,33.6,,,
2018-03-19 00:00:00,2.9,-3,10,,,249,21.3,,,
2018-03-20 00:00:00,8.3,2,15,,,267,29.5,,,
